,constituency,name,age,cases,assets,liabilities,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,party,votes,gender,uuid,Year,education_category
331,Arabhavi,Basavanth Irappa Vader,58,0,3255000.0,225000.0,B.A LLB Chris Law University Hubbali in 1993-94 to 2001,GEN,Belgaum,"Social Service, Lawyer and Agriculture",No,"Social Work / Activism, Law / Judiciary, Agriculture / Farming",Cound't Classify,BSP,704.0,M,3ysQT99u,2023,Graduate
332,Sindhanur,Basapur Sharanappa Neelakantappa,31,0,5392100.0,90000.0,PUC Padavi Purva College Sindhanoor 2008- 2009,GEN,Raichur,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,IND,448.0,M,CJSqhJ3s,2023,Higher Secondary Education
333,Raybag,Basavanni Pundalik Doddaling,42,0,1571500.0,,"Bachelor of Arts-2006, L K Khot Hebbal",SC,Belgaum,Private Job,Not Given,Information Technology,Cound't Classify,IND,320.0,M,BrD4M4jg,2023,Graduate
334,Sindhanur,Basavaraj Badarli,42,0,23877646.0,,7th from Govt Lower Primary School Channahalli,GEN,Raichur,"Agriculturist, Social Service Peoples Representative",Agriculturist House Wife,"Agriculture / Farming, Social Work / Activism",Agriculture / Farming,IND,215.0,M,CDgrXXxM,2023,Primary Education
335,Manvi,Basavaprabhu,34,0,1502884.0,282500.0,"Boys Govt. Pre-University College Manvi, in April-2006",ST,Raichur,Self employed,Honorarium based job,Business / Entrepreneurship,Cound't Classify,KRS,742.0,M,N6eC49LS,2023,Higher Secondary Education
336,Hungund,Basanagouda Hanamagouda Hiregoudar,46,0,21150000.0,600000.0,"PUC - 1992, V M College, Hungund and Diploma in Theater Arts passed year 1996, Heggod College",GEN,Bagalkot,Agriculture,No,Agriculture / Farming,Cound't Classify,IND,320.0,M,7dDHNeBB,2023,Diploma Holder
337,Muddebihal,Basavaraj Bhimanna Bhajentri,29,0,2682800.0,,BSc Karnataka science university Darawad 2017,GEN,Bijapur,Business,Not Given,Business / Entrepreneurship,Cound't Classify,JD(S),533.0,M,T6h9WPkb,2023,Graduate
338,Kalghatgi,Basavalingappa Irappa Bugadi,42,0,3901218.0,90000.0,Bachelor of Computer Applications Incomplete from Madurai Kamaraj University in 2007,GEN,Dharwad,DTP Operator,She is Living Separate Since 12 years Without Divorced,Unknown,Cound't Classify,UPP,244.0,M,HuWLcVwd,2023,Graduate
339,Belgaum Rural,Basavaraj Kallappa Kuddemmi,33,0,755500.0,,"SSLC, Shri Duradundishwaramath Comp JR Col Ghataprabha Gokak",GEN,Belgaum,Agriculture,Housewife,Agriculture / Farming,Education / Academia,IND,154.0,M,6YK9HiaE,2023,Higher Secondary Education
340,Jevargi,Basavaraj Kumbar Balichakra,31,0,220000.0,,SSLC ( KSEEB Bengaluru ),GEN,Gulbarga,Agriculture,No,Agriculture / Farming,Cound't Classify,KRS,131.0,M,dvuELanu,2023,Higher Secondary Education
341,Athani,Basavaraj Bhimappa Bisanakoppa,38,0,17900000.0,1000000.0,"MA from Kannada University, Hampi Vidyaranya in 2015-2016, B.Ed. from Karnataka University Dharwad in 2006-07",GEN,Belgaum,Agriculture,Housewife,Agriculture / Farming,Education / Academia,KRPP,935.0,M,UUk8yxXc,2023,Postgraduate
342,Kanakagiri,Basavaraj Dadesugur,43,1,45586643.0,9739480.0,"7th Govt High School,Rayachur",SC,Koppal,Agriculture and social service,Housewife and agriculture,"Agriculture / Farming, Social Work / Activism","Not Given, Agriculture / Farming",BJP,63532.0,M,62gGLFyg,2023,Primary Education
343,Babaleshwar,Basavaraj Honawad,36,0,71779472.0,,"Bachelor of Science - 2007 Jagadamba Arts College, Hittinahalli Tq Indi, Vijayapur Dist Vijayapur (Karnataka Uiversity, Dharwad)",GEN,Bijapur,Business and Agriculturist,Homemade,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify,JD(S),1304.0,M,CVYeofYL,2023,Graduate
344,Yemkanmardi,Basavaraj Hundri,36,0,83053763.0,15706478.0,"Master of Arts (External) in 2018, Anjuman Arts College Belagavi, Karnataka University Dharwad",ST,Belgaum,Civil Contractor,House wife,Construction / Real Estate,Not Given,BJP,43079.0,M,C6nNzQp7,2023,Postgraduate
345,Hukkeri,Basavaraj Malagouda Patil,73,0,15500000.0,40000.0,BA from Lingaraja College Belagaum 1973,GEN,Belgaum,Agriculture and Nandini Milk Outlet,Pensioner,"Agriculture / Farming, Medicine / Healthcare",Not Given,JD(S),401.0,M,Zdmp89qk,2023,Graduate
346,Hubli-Dharwad West,Basavaraj Malakari,43,0,18051541.0,2185720.0,SSLC From Bassel Mission Boy Children School Dharwad -passed 1996,GEN,Dharwad,Farming and business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,IND,780.0,M,8ZrzzhSn,2023,Secondary Education
347,Kalghatgi,Basavaraj Dodamani,51,0,100548569.0,13657793.0,"Diploma in journalism,bangalore university",GEN,Dharwad,contracter,Contracter,Law Enforcement / Security,Cound't Classify,IND,675.0,M,RzGrsT5n,2023,Diploma Holder
348,Belgaum Uttar,Basavaraj Muragesh Jarali,32,1,56750.0,,B.com LLB Raja Lakham Gowda College Belagum Karnataka Site Law University Dharwad -Hubli Completed in 2016,GEN,Belgaum,Lawyer and Social Service,House Wife,"Law / Judiciary, Social Work / Activism",Cound't Classify,KRS,90.0,F,EfRBZke2,2023,Graduate
349,Gadag,Basavaraj Malode,38,0,16200000.0,100000.0,"Pre-University College - PUC - Fail (Sanketh PU College, Gadag)",GEN,Gadag,Agriculture,No,Agriculture / Farming,Cound't Classify,IND,106.0,M,8aBcRMfA,2023,Higher Secondary Education
350,Kalghatgi,Basavaraj Gangappa Sangannavar,39,0,3839900.0,,"B.Com,Murasavira mata",GEN,Dharwad,Tax Consultants,Housewife,Consulting / Advisory,Education / Academia,IND,179.0,F,R8BZSrTs,2023,Graduate
351,Sindhanur,Basavaraj Sasalamari,54,0,155000.0,,Unknown,GEN,Raichur,Agriculture,Housewife Agriculture,Agriculture / Farming,Agriculture / Farming,RPIB,236.0,M,cxxXm8jb,2023,Unknown
352,Raybag,Basavaraj Nasalapure,38,1,3802000.0,,"BA,LLB From KUD Dharwad 2013-14",SC,Belgaum,Lawyer Agriculture,Lawyer,"Law / Judiciary, Agriculture / Farming",Law / Judiciary,BHRP,245.0,M,QKN3m4ba,2023,Graduate
353,Yadgir,Basavaraj M Ramasamudra,59,0,1000908.0,,"B.A- Govt.Graduate , Yadagiri, passed in 1990- Gulbarga University, Gulbarga",GEN,Yadgir,Solidarity Social Service,House wife,Social Work / Activism,Not Given,BSP,694.0,M,hqeCfqky,2023,Graduate
354,Shiggaon,Basavaraj Bommai,63,0,521356863.0,59420772.0,"BE in Mechanical BVB Engineering college, Hubli-580031 in 1977-1982",GEN,Haveri,Public Servant Business,Business,"Politics / Public Service, Business / Entrepreneurship",Business / Entrepreneurship,BJP,100016.0,M,8jFMC7tr,2023,Graduate
355,Hubli-Dharwad East,Basavaraj Terdal,48,0,14622567.0,,"BA Graduate in KuvempuUniversity Shivamogga Karnataka 2016, JSS Sakri Law University LLB Failed.",SC,Dharwad,Contractor,House Wife,Consulting / Advisory,Cound't Classify,AAP,568.0,M,MxBYYhCp,2023,Graduate
356,Yelburga,Basavaraj Rayareddi,67,0,436418121.0,45000000.0,B .A. L L B from Dharwad University Dharwad 1981,GEN,Koppal,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,INC,94330.0,M,mvosPnPY,2023,Graduate
357,Byadgi,Basavaraj Neelappa Shivannanavar,69,0,44682045.0,23438029.0,B.A-G.H College Karnataka University Dharwad -1978,GEN,Haveri,Agriculture and Social worker,Agriculture and House Work,"Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Not Given",INC,97740.0,F,8mG7V6Vn,2023,Graduate
358,Haliyal,Basavaraj Shekhsanadi,32,1,3295000.0,,SSLC,GEN,Uttara Kannada,Business,Hous wife,Business / Entrepreneurship,Not Given,KRS,477.0,M,7JyACtuU,2023,Secondary Education
359,Jamkhandi,Belagali Sushilkumar,53,0,17895885.0,8510661.0,"B.A. Parallel Degree (Distance Education) - Hindi Literature Conference, AIlahabad",GEN,Bagalkot,Milk Business,Agriculture,Business / Entrepreneurship,Agriculture / Farming,IND,5975.0,M,fbM29xiH,2023,Graduate
360,Davanagere North,Bathi Shankar,47,0,21867326.0,,LLB Kuvempu University Shankaraghatta Shivmoga in 2002,GEN,Davangere,Business and Agriculture,Private Job and Investment,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,JD(S),935.0,M,jQLJ9YM9,2023,Graduate
361,Gulbarga Rural,Basawaraj Mattimudu,43,0,268652641.0,119404161.0,"PUC from Govt PU College, Gundagurti in 1998",SC,Gulbarga,Agriculture Social Service,Home Maker Business,"Social Work / Activism, Agriculture / Farming",Business / Entrepreneurship,BJP,84466.0,M,3s3PM623,2023,Higher Secondary Education
362,Sullia,Bhagirathi Murulya,48,0,2825628.0,227500.0,11th Government Pre University College Sulliya Taluk,SC,Dakshina Kannada,Agriculture,No,Agriculture / Farming,Cound't Classify,BJP,93911.0,M,GhJodSJ9,2023,Higher Secondary Education
363,Gandhi Nagar,Basavaraja M D,33,0,492500.0,,Diploma Year of Passing 2018 College Oxford Evening Polytechnic,GEN,B.B.M.P(Central),Yaskawa India Pvt. Ltd.,Bhel,Engineering / Technology,Engineering / Technology,UPP,746.0,M,2QFfTNFP,2023,Diploma Holder
364,Bhadravati,Basavaraja P.E.,66,0,2550500.0,900000.0,"Secondary School Leaving Certificate, Fail",GEN,Shimoga,Carpenter Daily Wage Labor,House Wife,Law Enforcement / Security,Cound't Classify,RPOIK,426.0,M,fmfHPV5P,2023,Secondary Education
365,Shrirangapattana,Basavaraja Somavarada,38,0,1800000.0,100000.0,B.E Civil From NIE Mysore in 2016,GEN,Mandya,Agriculture and Civil Engineer,No,"Agriculture / Farming, Engineering / Technology",Cound't Classify,IND,108.0,M,FWzHrPLW,2023,Graduate
366,Kadur,Belli Prakash,58,0,103548685.0,83732995.0,LLB -SGRC Vidya institution Bangalore-1999,GEN,Chikmagalur,"Lawyer, Engineer, Farmer",Insurance Representative,"Law / Judiciary, Engineering / Technology, Agriculture / Farming",Banking / Finance,BJP,63469.0,M,ChvzHAXY,2023,Graduate
367,Channagiri,Basavaraju V Shivaganga,42,3,61261704.0,16751320.0,"B.A. A.R.M. Pre-University College, Davanagere In 2001",GEN,Davangere,Agriculture and Busniess,Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship,INC,78263.0,M,3gXwHB9x,2023,Graduate
368,Sorab,Basuru Chandregowdru,69,0,30124710.0,9900000.0,6th Govt. School Devanahalli sorab1965,GEN,Shimoga,FARMER,FARMER,Agriculture / Farming,Agriculture / Farming,JD(S),6477.0,M,RsnUJo8H,2023,Primary Education
369,Basavana Bagevadi,Bellubbi Sangappa Kallappa,68,0,42064310.0,8988695.0,"SSLC,Shri Sangameshwar High School ,Kolhar,Taluk Vijayapur in 1970",GEN,Bijapur,Ex MLA,House Work,Politics / Public Service,Cound't Classify,BJP,43263.0,F,AddqeQ8S,2023,Higher Secondary Education
370,Gulbarga Rural,Bhagwan Eduram Bhovi,59,0,315000.0,60000.0,8th from Govt. High School,SC,Gulbarga,Social Worker,Not Given,Social Work / Activism,Cound't Classify,IND,174.0,M,6J3MCrmz,2023,Secondary Education
371,Kagwad,Bharamgouda Alagouda Kage,65,0,179596137.0,,"B.Sc. From R.L.S. College, Belagavi Karnataka University, Dharwar, Year-1980",GEN,Belgaum,Agriculturist,House Wife Agriculturist,Agriculture / Farming,Agriculture / Farming,INC,83387.0,M,EWei2e2c,2023,Graduate
372,Athani,Bharatesh Bhujabali Kudari,35,0,872450.0,,BAMS from Basaveshwar Vidya Vardhaka Ayurvedic Medical College Bagalkot in 2009,GEN,Belgaum,Kuli,House Wife,Unknown,Cound't Classify,UPP,224.0,M,hnMvoFGz,2023,Graduate
373,Hubli-Dharwad West,Bhanubee Shaikh Alias Hosamani,54,0,50000.0,,3 rd Govt school,GEN,Dharwad,Wages,Not Given,Cound't Classify,Cound't Classify,IND,67.0,M,nFWZLkRZ,2023,Illiterate
374,Belgaum Dakshin,Bharat Goti,26,0,431426.0,,"SSLC, SWADYAY VIDYA MANDIR TILAKWADI, DIST BELAGAVI.",GEN,Belgaum,Gas cylinder supplier,Housework,Not Given,Cound't Classify,IND,375.0,M,dcGVNDPs,2023,Higher Secondary Education
375,Bellary City,Bharath,28,0,679521.0,,B. Com From Krishnadevaraya University In 2020,GEN,Bellary,Social Service,Not Married,Social Work / Activism,Cound't Classify,IND,321.0,M,ZCnj6j5b,2023,Graduate
376,Krishnarajanagara,Bharath Kumar,50,0,5375000.0,,B.Sc. from JSS College Mysore Dist. in 1996,GEN,Mysore,Farming and Business,Farming,"Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming,BSP,545.0,M,8hT9YdJF,2023,Graduate
377,Yelahanka,Bhagya N,42,0,,,10th Class pass,GEN,Bangalore Urban,Housewife,Not Given,Education / Academia,Cound't Classify,IND,191.0,M,mWcVwEWX,2023,Secondary Education
378,Devar Hippargi,Bevinakatti Gaibappa Bhimappa,34,0,3872500.0,450000.0,"ITI.-2012,Preethama ITI Devosuguru",GEN,Bijapur,Business,Not Given,Business / Entrepreneurship,Cound't Classify,RPIB,216.0,M,Kvt4UM9W,2023,Vocational Training
379,Sedam,Bharath Kumar G,34,0,11135943.0,2000000.0,B.Com from Bangalore University in 2011-12,GEN,Gulbarga,Business-M s. Annapoorneswari Constructions Proprietor,Not Given,Business / Entrepreneurship,Cound't Classify,IND,513.0,M,Jj8JNvqm,2023,Graduate
380,Bidar South,Bheema Shankar Police Patil,50,1,38732468.0,10162025.0,PUC from karnataka board pre univercity year of passing 1993,GEN,Bidar,Social Worker Business,Profession and house wife,"Social Work / Activism, Business / Entrepreneurship",Not Given,KRPP,500.0,M,2nPEx3Z9,2023,Higher Secondary Education
381,Turuvekere,Bharath.S,25,0,878600.0,,SSLC NVSJC Mayasandra TB Cros Tumkur Dist,GEN,Tumkur,Self Employee,House Wife,Unknown,Cound't Classify,UPP,724.0,M,GNo8ayqz,2023,Higher Secondary Education
382,Jagalur,Bheemappa.G.N,51,0,869650.0,38088.0,Nalanda Pre University College Jagalur in 1990,ST,Davangere,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,IND,869.0,M,ceC25Rx8,2023,Higher Secondary Education
383,Rajaji Nagar,Bhavya S B,37,0,2524000.0,94000.0,PUC From Bangalore University,GEN,B.B.M.P(Central),Business,Employed 4x Security Supervisor,Business / Entrepreneurship,Law Enforcement / Security,IMP,93.0,M,PWzSCCKP,2023,Higher Secondary Education
384,Karwar,Bhat Gangadhar,63,0,67128862.0,893956.0,"B.Sc. Govt. Arts Science College, Karwar, Karnataka University, Dharwad In 1985",GEN,Uttara Kannada,Proprietary Business,Proprietary Business,Business / Entrepreneurship,Business / Entrepreneurship,IND,2235.0,M,QCMh8vw8,2023,Graduate
385,Shimoga Rural,Bheemappa.B.H,62,0,13763500.0,900000.0,M.Com. From Shivaji University Kolapura Maharashtra in 1990-91,SC,Shimoga,Retried Lecturer,Dead,Education / Academia,Cound't Classify,IND,395.0,M,SUqJFwxg,2023,Postgraduate
386,Nagthan,Bharati Kalebhag,43,0,137000.0,,"SSLC School, Basaveshwara Proudashale Indi",SC,Bijapur,Social Service Housework,Coolie,"Not Given, Social Work / Activism",Unknown,SAS,261.0,M,JwCFQpXS,2023,Higher Secondary Education
387,Davanagere South,Bharathi.K,29,0,5080751.0,197000.0,"M. Com- University college Davanagere, Gangotri, Tollahunse, Davanagere- passed in 2017-2018",GEN,Davangere,Social Service Worker,Agriculture Social Service Worker,Social Work / Activism,"Agriculture / Farming, Social Work / Activism",SUCIC,121.0,M,VMsApbEc,2023,Postgraduate
388,Mahadevapura,Bharathraj J,38,0,11216200.0,2050000.0,"B.Com From Karnataka, LLB-Karnataka state law university hubli",SC,Bangalore Urban,Advocate,Consulting Business,Law / Judiciary,"Business / Entrepreneurship, Consulting / Advisory",IND,271.0,M,kmrauGXB,2023,Graduate
389,Jevargi,Bheemu D Nelogi,27,0,110000.0,,BA Completed in the year 2017 18 From Gulbarga University Kalaburagi,GEN,Gulbarga,Coolie,Not Given,Unknown,Cound't Classify,BSP,676.0,M,EzonnLtM,2023,Graduate
390,Chamrajpet,Bhaskar Rao,59,0,239282106.0,,Master of Arts in Economics from Bangalore University in April 1988,GEN,B.B.M.P(Central),"Indian Police Service (Retired), Former Additional Director General of Police, Railways, Karnataka","MBBS, MD, Professor in Pediatrics, Consultant Pediatrics, Convener, Medical Education Unit, Ramaiah Medical College and Hospital",Military / Defense,"Medicine / Healthcare, Science / Research, Education / Academia",BJP,23678.0,M,VaLrBc34,2023,Postgraduate
391,Badami,Bhimappa Fakeerappa Talawar,65,0,30500000.0,3700000.0,PUC From K.C.D College Dharwad in 1975,GEN,Bagalkot,Agriculture,NO,Agriculture / Farming,Not Given,IND,989.0,M,5FzaCUsA,2023,Higher Secondary Education
392,Gokak,Bhimashi Naik,48,0,570000.0,70000.0,"Bachelor of Arts, Degree, GES Gokak Ambedkar College, Gahataprabha",GEN,Belgaum,Social Service and Agriculture,House Wife,"Social Work / Activism, Agriculture / Farming",Cound't Classify,IND,966.0,M,3SVddSaJ,2023,Graduate
393,Arabhavi,Bhimappa Gundappa Gadad,64,2,7400000.0,1182362.0,SSLC Kelkara High School Kulagod in 1974-75,GEN,Belgaum,Social Service and Agriculture,House Wife,"Social Work / Activism, Agriculture / Farming",Cound't Classify,IND,43862.0,M,4BgQUVzh,2023,Higher Secondary Education
394,Kittur,Bhimasheppa Demappa Durgannavar,74,0,36059500.0,700000.0,SSLC Sri Gurusiddeshwara high school Kittur 1968,GEN,Belgaum,Agricultural,House wife,Agriculture / Farming,Not Given,IND,288.0,M,FJc64c8h,2023,Higher Secondary Education
395,Devar Hippargi,Bhimanagouda (Rajugouda) Basanagouda Patil,51,0,42065952.0,19541521.0,B.Sc. Agri- Son-1995-96 Krishi University Dharwad,GEN,Bijapur,Agriculture Business,House wife Agriculture,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Not Given",IND,1044.0,M,3rVSKrwm,2023,Graduate
396,Sirsi,Bhimanna T. Naik,66,0,1229747533.0,691398368.0,"7th std govt school besalakoppa ,sirsi ,uttara kannada 1984-85",GEN,Uttara Kannada,"Agriculture ,business",Agriculture,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming,INC,76887.0,M,2Tw3PVju,2023,Primary Education
397,Yadgir,Bhimanna Gurubassayya,62,0,4546802.0,290000.0,5th Pass from Government Primary School Yadgiri,GEN,Yadgir,Agriculture and Social Service,No,"Agriculture / Farming, Social Work / Activism",Cound't Classify,IND,252.0,M,k8Hdvy9K,2023,Primary Education
398,Raybag,Bhimseen Dattu Sanadi,51,0,4955000.0,500000.0,Not Educated,SC,Belgaum,Agriculture and Business,House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,IND,288.0,M,i9TxjPYc,2023,Illiterate
399,Byatarayanapura,Brigadier Ravi Muniswamy,61,0,15037020.0,3800000.0,"Bachelor of Enginerring(Bangalore University, 1985), M.Tech(JNU 1998), MBA(University of Madras 2001), PGDAE(Military College of Electronics and Mechanical Engineering 1989), CSQC (Indian Statistical Institute 2011), etc",GEN,Bangalore Urban,Retired Service Person,Medical Officer,Cound't Classify,Medicine / Healthcare,SAS,307.0,M,LBTUUuEz,2023,Postgraduate
400,Babaleshwar,Bhirappa Malappa Soddi,69,1,21617945.0,1000000.0,"BA Babaleshwar Shantweera college Babaleshwar ,rani Chennamma, 2016",GEN,Bijapur,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,IND,398.0,M,9J2a8t7W,2023,Graduate
401,Chitradurga,Bhutharaja.V.S.,35,0,1781800.0,340000.0,"LLB Sarasvati Law College Chitradurga Still Studying , MBA from shri bala gangadhara nathaswamy Technology University in 2014-15",GEN,Chitradurga,Education and Business,Unmarried,"Education / Academia, Business / Entrepreneurship",Cound't Classify,IND,399.0,M,CJHpzPNY,2023,Postgraduate
402,Ron,Bibijan Rajesab Daragad,69,0,3012000.0,1010000.0,T.C.H.- V.T.C. Dharwad,GEN,Gadag,Retired Teacher,Retired Teacher,Not Given,Not Given,IND,256.0,M,oAPWMykF,2023,Diploma Holder
403,Madikeri,Bopanna Karthamada Poovaiah,50,0,48134054.0,21343480.0,"Bachelur of Marketing Management , Pondicherry University Distance Education 2005",GEN,Kodagu,Entrepreneur,Entrepreneur,Business / Entrepreneurship,Business / Entrepreneurship,AAP,407.0,M,YVJAZhwR,2023,Graduate
