,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
689,Sandur,E. Tukaram,INC,56,0,28805985.0,8825000.0,Postgraduates,"M.A. From Gulbarga University, Gulbarga - Nandi Halli Postgraduate Center, Sandur in 1992, PGDBA from St. Josephs University, Bengaluru In 1993",ST,Bellary,Social service,Social Service,Social Work / Activism,Social Work / Activism
690,Maski,E.H. Nayak,IND,37,0,5000.0,,Postgraduates,"MA in Journalism, B Ed, MSW",ST,Raichur,Coolie,Coolie,Unknown,Unknown
691,Dasarahalli,Eshwaraiah K. S.,Lok Shakti,44,0,96227.0,,Primary Education,9th Pass,GEN,Bangalore Urban,Own business,House Wife,Business / Entrepreneurship,Cound't Classify
692,Ramanagaram,Fayaz Ahmed,Young Star Empowerment Party,37,0,32000.0,,Unknown,"Winners International year 2014School , Magadi",GEN,Ramanagaram,Social worker,Housewife,Social Work / Activism,Education / Academia
693,Gandhi Nagar,G Gajendra,IND,46,0,60000.0,,Higher Secondary Education,9th Std,GEN,B.B.M.P(Central),Social Worker,Home Maker,Social Work / Activism,Not Given
694,Kalghatgi,G Basavaraj,IND,59,0,6530000.0,,Graduates,"Degree ,karnataka Arts College darwad-1988",GEN,Dharwad,Agriculture,NO,Agriculture / Farming,Not Given
695,Tumkur City,G B Jyothi Ganesh,BJP,47,0,345946757.0,72584713.0,Postgraduates,"Post Graduate Diploma in Management Science from Sri Dharmasthala Manjunatheshwara Institute for Management Development, Mysore in 1999, B.E from Mechanical Engineering Siddaganga Institute of Technology Tumkur, Bangalore University in 1996.",GEN,Tumkur,"BE, MBA",BA,"Engineering / Technology, Consulting / Advisory",Cound't Classify
696,Davanagere South,Eshwara,Uttama Prajaakeeya Party,37,0,1717000.0,,Primary Education,"4th Class, Govt Politechnic college, Honagal, Haveri Di, Year 1995",GEN,Davangere,Millet Cleaning Dry Polish,House wife,Agriculture / Farming,Not Given
697,Madikeri,G G Hemanth Kumar,IND,45,1,55140000.0,6700000.0,Higher Secondary Education,"PUC, Chennamma Junior College, Madapura",GEN,Kodagu,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
698,Holenarasipur,G Devarajegowda,BJP,47,4,789675474.0,14000000.0,Postgraduates,"B.A., LLB from Sarvodaya Law College Bangalore, Karnataka State Law university (Hubli) in 2017",GEN,Hassan,Advocate,Home Maker,Law / Judiciary,Not Given
699,Raichur,E. Vinay Kumar,JD(S),39,0,120905925.0,68346539.0,Graduates,LLB Passed in the year 2012 from SCAB Law college raichur,GEN,Raichur,Advocate and agriculture and business,Agricultural and house hold,"Law / Judiciary, Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Not Given"
700,Sedam,G. Lallesh Reddy,KRPP,46,0,639556278.0,74049738.0,Postgraduates,"Master of Business Administration from Karnataka State Open University, Mysore in 2014, Bachelor of Science from HBG College, Bangalore University in 2009",GEN,Gulbarga,Business-Real Estate,Business-Real Estate and Coffee Shop Owner,"Business / Entrepreneurship, Construction / Real Estate","Business / Entrepreneurship, Construction / Real Estate, Arts / Entertainment"
701,Hosakote,G Narayanaswamy,IND,51,0,21293211.0,8500000.0,Secondary Education,"SSLC from Govenment School, B. Narayanapura 1986-87",GEN,Bangalore Rural,Social Worker,House wife,Social Work / Activism,Not Given
702,Bangalore South,G Srinivasa,IND,57,0,113000.0,,Secondary Education,"SSLC Yediyur Jayanagar, Bangalore in 1982",GEN,Bangalore Urban,Social Service,House Wife,Social Work / Activism,Cound't Classify
703,Dasarahalli,G. Dhananjaya,INC,44,1,1543837440.0,2650000.0,Postgraduates,"MBA, Periyar University Salem, 2012",GEN,Bangalore Urban,"Vice President, Shanthidhama Educational Instituutions","President, NPS Educational Institutions","Education / Academia, Social Work / Activism",Education / Academia
704,Sullia,G. Krishnappa Ramakunja,INC,59,0,61868666.0,49500000.0,Postgraduates,M. Sc From Bangalore University Passed In 1993 MA Rural Development Bangalore University In passed in 1995,SC,Dakshina Kannada,Agriculture Social Service Worker,Govt Officer,"Agriculture / Farming, Social Work / Activism",Politics / Public Service
705,Gangawati,G Janardhan Reddy,KRPP,56,20,2465142443.0,,Secondary Education,Completed 10th Standard at Government High School (Municipal) at Bellary in the year 1981-82,GEN,Koppal,Business Agriculture,Business Agriculture,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
706,Harapanahalli,G Kaliveeran Gouda,IND,47,0,15918500.0,,Higher Secondary Education,"PUC ,Government Pre University College ,Harapanahalli in 2004",GEN,Davangere,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
707,Chintamani,G N Venugopal,BJP,51,1,272447516.0,38550000.0,Secondary Education,SSLC from Government PU College Devanahalli in 2017,GEN,Chikkaballapur,Self Employed,House wife,Business / Entrepreneurship,Not Given
708,Manvi,G Hampayya Nayak,INC,84,0,26275566.0,3435371.0,Secondary Education,SSLC From Kalburgi Year 1954,ST,Raichur,Agriculture and Social Service,Not Given,"Agriculture / Farming, Social Work / Activism",Cound't Classify
709,Arsikere,G V Basavaraja,BJP,55,0,29724905.0,1725792.0,Higher Secondary Education,"PUC, Kalpataru College,Tiptur in 1988",GEN,Hassan,"Agriculture, Business",House Wife,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
710,Gauribidanur,G N Ravi,IND,59,0,8752000.0,300000.0,Diploma Holders,"K V I T I College Chikkaballapura, I T I K V I T I 1987-89",GEN,Chikkaballapur,Business,Housewife,Business / Entrepreneurship,Education / Academia
711,Malavalli,G. Muniraju,BJP,59,1,125054393.0,10474978.0,Higher Secondary Education,"12th From Kengeri Junior College, Bangalore-1982",SC,Mandya,Business,Housewife,Business / Entrepreneurship,Education / Academia
712,Anekal,G. Nagaraju,IND,69,0,103680913.0,72093283.0,Secondary Education,Passed 5th standard at Govt Boys High School Sarjapura in Year 1965,SC,Bangalore Urban,Business,House Wife,Business / Entrepreneurship,Cound't Classify
713,Hanur,G. Murugeshan,Karnataka Praja Party (RaithaParva),48,0,27555.0,,Postgraduates,"B.A.L.L.B. From Vidyavardhak College, Mysore, Year-2014-15",GEN,Chamarajnagar,Advocate,Housewife,Law / Judiciary,Education / Academia
714,Hunsur,G. Ravikumar,AAP,40,2,1444000.0,100000.0,Primary Education,"7th Std from Government Primary School, Rathnapuri, Hunsur Taluk, Mysore District in 1995-96",GEN,Mysore,Driver Agriculturist,Seva Prathinidhi in Sri Kshethra Dharmasthala Samsthe,"Agriculture / Farming, Transportation / Logistics",Social Work / Activism
715,Narasimharaja,G. Lokesh Kumar,IND,36,3,7420787.0,1070000.0,Technical/Professional Courses,"ITI from Govt. ITI College Mysore, PUC in 1999 Maharaja college Mysore",GEN,Mysore,Self Employed,Not Given,Business / Entrepreneurship,Cound't Classify
716,Bellary City,G. Somasekhara Reddy,BJP,57,6,654940258.0,382771521.0,Postgraduates,"Master of Commerce, Gulbarga University - 1988",GEN,Bellary,Business Politician Social Worker,Home Wife,"Business / Entrepreneurship, Politics / Public Service, Social Work / Activism",Not Given
717,Davanagere South,G. R. Shivakumar Swamy,IND,46,1,320000.0,200000.0,Primary Education,5th Class,GEN,Davangere,Agriculture,House wife,Agriculture / Farming,Not Given
718,Harapanahalli,G Karunakara Reddy,BJP,61,0,599832858.0,295642897.0,Graduates,B.A. Veerashaiva College Ballari Gulbarga University,GEN,Davangere,Member of Legislative Assembly,Business,Politics / Public Service,Business / Entrepreneurship
719,Chamundeshwari,G. M. Mahadeva,IND,45,0,146000.0,,Postgraduates,MA From Karnataka State University Mukthagangotri Mysore In 2022-23,GEN,Mysore,Reporter,No,Media / Journalism,Cound't Classify
720,Tarikere,G.H. Srinivasa,INC,55,0,157002688.0,9523404.0,Postgraduates,"LLB, National Law College ,Kuvempu University Shivamoga in 1988",GEN,Chikmagalur,Agriculture,"House Wife , Partnership (Sai Baba Banashankari ,Anjanadri Stone Crusher)",Agriculture / Farming,Not Given
721,Mulbagal,G.C.Ramappa,IND,45,0,240000.0,50000.0,Primary Education,7th Class,SC,Kolar,Agriculture,Housewife,Agriculture / Farming,Education / Academia
722,Chamundeshwari,G. T. Devegowda,JD(S),73,0,228091473.0,99138842.0,Secondary Education,"8th Class from Govt. High School, Mysore In 1966",GEN,Mysore,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
723,Sringeri,G.Bharathi,IND,43,0,9594067.0,,Secondary Education,10 PASS Government school 1994,GEN,Chikmagalur,Not Given,Priests,Cound't Classify,Religion / Spirituality
724,Tumkur Rural,G.H.Shanmukhappa,INC,65,0,81251105.0,1915014.0,Doctorates,Masters in Engineering ( Environment Engineering ) 1987-88,GEN,Tumkur,Not Given,Not Given,Cound't Classify,Cound't Classify
725,Madhugiri,G.H. Maruthi,IND,37,0,1585000.0,500000.0,Higher Secondary Education,"2nd PUC from Independent Pre University College Madhugiri Talluk ,2004-05",GEN,Tumkur,Self employment,House wife,Cound't Classify,Not Given
726,Nanjangud,G.D. Rajagopala,IND,52,0,21000.0,,Higher Secondary Education,"PUC from G S S College, Ramanuj Road Mysore, 1986-87",SC,Mysore,Social Service,Housewife,Social Work / Activism,Education / Academia
727,Chitradurga,G.Chitrashekarappa,IND,62,0,15114000.0,300000.0,Graduates,B.A Failed Maharaj First Grade College Chitradurga Kuvempu University,GEN,Chitradurga,Agriculture and Document writer,House Wife,Agriculture / Farming,Cound't Classify
728,Channapatna,G.Chandrashekaraiah,BSP,59,0,1748000.0,248000.0,Diploma Holders,Diploma in Civil Engineering Government Polytechnic Channapatna 1994,GEN,Ramanagaram,Photographer,House Wife,Arts / Entertainment,Cound't Classify
729,Hunsur,G.D. Harish Gowda,JD(S),36,1,375957457.0,,Graduates,"BE - National Institute of Engineering ,Mysore in 2009",GEN,Mysore,Business,House wife,Business / Entrepreneurship,Not Given
730,Nagamangala,G.M. Ramesh,Karnataka Rashtra Samithi,52,1,645000.0,,Secondary Education,SSLC,GEN,Mandya,"Agriculture ,Social work",House wife,"Agriculture / Farming, Social Work / Activism",Not Given
731,Srinivaspur,G.K. Venkatashivareddy,JD(S),76,1,158277352.0,25000.0,Postgraduates,"B.Sc, LLB,-1973 Govt Law collage",GEN,Kolar,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
732,Chamarajanagar,G.M.Gadkar,Samajwadi Janata Party(Karnataka),57,0,26000.0,,Postgraduates,MA in Mysore University Gangotry -1992 93,GEN,Chamarajnagar,Social worker,Not Given,Social Work / Activism,Cound't Classify
733,Kolar,G.Venkatachalapathi,IND,47,0,750000.0,,Graduates,"BA, LLB 2006 Bangalore University",GEN,Kolar,Lawyer,House Wife,Law / Judiciary,Cound't Classify
734,Malur,G.E.Ramegowda,JD(S),52,0,763529851.0,119706092.0,Graduates,B.E.(Civil Engineering) K.R.E.Collage-1995,GEN,Kolar,"Agriculture, Partnership business, and Self employee","R.J. Constriction, Hotel and resort","Business / Entrepreneurship, Agriculture / Farming","Engineering / Technology, Hospitality / Tourism"
735,Bhatkal,Gafoor Sab,IND,44,0,517000.0,,Secondary Education,7th Std. - P.M. High School Ankola,GEN,Uttara Kannada,Business,House wife,Business / Entrepreneurship,Not Given
736,Yeshvanthapura,G.Udayashankar,IND,48,0,20000.0,,Technical/Professional Courses,"Diploma in film journalism in the year 2000 film etc, institute bangalore.",GEN,Bangalore Urban,Journalist,House wife,Media / Journalism,Not Given
737,Chitradurga,G.Raghu Achar,JD(S),45,0,110661382.0,,Secondary Education,"SSLC from DMH School, Sarjapur, Bangalore in 1994",GEN,Chitradurga,"Business, Ex MLC (Chitradurga Local Body Constituency)",House Wife,"Business / Entrepreneurship, Social Work / Activism",Cound't Classify
738,Jagalur,G.Swamy,SP,47,1,775000.0,3700.0,Secondary Education,"Secondary School Leaving Certificate, Pass, High School, Kenchanahalli, Saraguru Tq., Mysore Dist. - 1993",ST,Davangere,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
739,Chitradurga,G.H.Thippa Reddy,BJP,75,0,795067860.0,227229530.0,Higher Secondary Education,PUC from Mysore University in 1973,GEN,Chitradurga,"Agriculture, Business",Agriculture and business,"Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Agriculture / Farming"
740,Belgaum Rural,Ganesh Prakash Singannavar,Republican Party of India (A),48,0,55424000.0,1500000.0,Postgraduates,MBA from Kuvempu University Mysore in 1998,GEN,Belgaum,Business,Teacher,Business / Entrepreneurship,Education / Academia
741,Hebbal,Ganesh C,Karnataka Rashtra Samithi,40,0,499000.0,,Graduates,"B.Com from B.E.S College, Bangalore University",GEN,B.B.M.P(North),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
742,Mudhol,Ganesh Parashuram Pawar,AAP,33,0,781862.0,,Secondary Education,SSLC - Pragathi High School Janatha Plot Mudhol,SC,Bagalkot,Private Service,Household,Cound't Classify,Not Given
743,Bhalki,Ganesh Govind,IND,32,0,2120000.0,,Secondary Education,"Secondary School Leaving Certificate, Pass",GEN,Bidar,Agriculture,Daily wage labor,Agriculture / Farming,Not Given
744,Chitradurga,Ganesh,IND,60,0,22168.0,,Illiterate,Illiterate,GEN,Chitradurga,Social Service,House wife,Social Work / Activism,Not Given
745,Shikaripura,Ganesha R,IND,49,0,9610000.0,,Doctorates,"Ph.D. from Ambedkar Vishwa Vidyalaya UP in 2013, MA Englsih in Gnana Bharathi Bengaluru University 1999",GEN,Shimoga,"Writer, Agriculture, Distributer",Housewife Distributer,"Arts / Entertainment, Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship
746,Bellary City,Gali Lakshmi Aruna,KRPP,47,2,2465142443.0,,Higher Secondary Education,"B.Sc First Year, from J.M.J. College for Women, (Nagarjuna University) at Tenali in 1992-93",GEN,Bellary,Business Agriculture,Business Agriculture,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
747,Tumkur City,Gajendra Kumar Gowda,Karnataka Rashtra Samithi,48,0,4117835.0,200000.0,Graduates,"Bachelor of Arts in Siddaganga Evening College, Tumkur of Bangalore University in 2004",GEN,Tumkur,Self Employed,Agriculture,Business / Entrepreneurship,Agriculture / Farming
748,Chikkodi-Sadalga,Ganesh Prakash Hukkeri,INC,45,0,179712182.0,23999693.0,Graduates,BBA from Bharathesh College Belagavi Karnataka University Dharwad in 1999-2000,GEN,Belgaum,"Agriculture, IOC Dealers and Social Service","Architech Engineering, Agriculture, BPCL Dealers and Social Service","Agriculture / Farming, Social Work / Activism","Engineering / Technology, Agriculture / Farming, Social Work / Activism"
749,Harihar,Ganeshappa Durugad,AAP,51,0,27929873.0,1250000.0,Graduates,LLB Karnataka University Dharwad Ranebennur RTS Law College in 2004,GEN,Davangere,Lawyer and Agriculture,Staff Nurse,"Law / Judiciary, Agriculture / Farming",Medicine / Healthcare
750,Kundgol,Gangadhar Shivaraddi Khandegoudru,IND,40,0,294000.0,,Higher Secondary Education,"2nd PUC (Incomplete), Padavi purva college sagar- 2001-2002",GEN,Dharwad,Labour,House wife,Cound't Classify,Not Given
751,Gulbarga Rural,Ganapath Rao K Mane,SUCI(C),45,0,255600.0,,Secondary Education,"SSLC from Govt. High School, Shahabad in 2001",SC,Gulbarga,Social Activist,Not Given,Social Work / Activism,Cound't Classify
752,Sullia,Ganesha. M (Sudhish),Karnataka Rashtra Samithi,38,0,517933.0,578500.0,Graduates,Graduate in B.Com at Gitam University In 2020 ITI at Govt. ITI Mangalore In 2005,SC,Dakshina Kannada,Private Company job - Organizer,Temporary Teacher in Army Public School,Cound't Classify,"Education / Academia, Military / Defense"
753,Belur,Gangadhara D S,BSP,43,0,3222845.0,50000.0,Postgraduates,"MA, LLB - K.S.O.U. Mysore Dist.- passed in 2012",GEN,Hassan,Lawyer work,House wife,Law / Judiciary,Not Given
754,Channapatna,Gangadhar.S,INC,53,1,274279108.0,21888945.0,Diploma Holders,Diploma Channapatna Government Polytechnic College in 1988-90,GEN,Ramanagaram,Elelctrical Contractor and Entrepreneur,Shareholding in Business,"Engineering / Technology, Business / Entrepreneurship",Business / Entrepreneurship
755,Honnali,Ganesha B A,Uttama Prajaakeeya Party,31,0,318000.0,104531.0,Diploma Holders,Diploma in Polytechnic in Government polytechnic collage Year 2014,GEN,Davangere,Civil Engineer,Housewife,Engineering / Technology,Education / Academia
756,Maski,Gangamma Ankushadoddi,Karnataka Rashtra Samithi,43,0,1224800.0,,Secondary Education,SSLC- Girls Govt. High School Maski in April-1997,ST,Raichur,Self employed,Govt. Employee,Business / Entrepreneurship,Unknown
757,Kanakagiri,Ganesh,Karnataka Rashtra Samithi,30,0,240000.0,,Secondary Education,"10th Fail from Govt Hiriya prathamika shale Chikka janthakal Gangavathi Tq, Year 2009 - 10",SC,Koppal,Labour,Labour,Cound't Classify,Cound't Classify
758,Chiknayakanhalli,Gangadharaiah,IND,52,0,2447179.0,300000.0,Secondary Education,SSLC,GEN,Tumkur,Agriculture,House wife,Agriculture / Farming,Not Given
759,Tiptur,Gangadharaiah K S,Karnataka Rashtra Samithi,57,0,15245450.0,860877.0,Postgraduates,MA Kannada,GEN,Tumkur,Employee,Not Given,Cound't Classify,Cound't Classify
760,Holenarasipur,Geetha B,AAP,41,0,74238040.0,7500000.0,Unknown,Unknown,GEN,Hassan,Business,Dietitian Doctor,Business / Entrepreneurship,"Medicine / Healthcare, Science / Research"
761,Haveri,Gavisiddappa Dyamannavar,BJP,51,0,26733032.0,1578045.0,Postgraduates,"M.Sc. (Agri.) in University of Agricultural Sciences, Dharawad in the year 2000",SC,Haveri,Retired Employee,Service,Not Given,Not Given
762,Heggadadevankote,Girijamba,IND,48,0,1872000.0,675000.0,Secondary Education,"10th Class From Government High School, Hommaragalli In 1987-88 Year",ST,Mysore,House Wife,Retired ASI,Cound't Classify,Law Enforcement / Security
763,Sira,Girish,CPI,50,0,11032000.0,720000.0,Graduates,"BA Union Cristian College Tumkur 1995 , PUC Kalidas Junior College, 1992 Shira gate tumkur ",GEN,Tumkur,Social Service,House wife,Social Work / Activism,Not Given
764,Hukkeri,Ghatigeppa Mallappa Magadum,Bahujan Bharat Party,64,0,7200000.0,1300000.0,Postgraduates,M Com from Karnataka University Dharwad in 1990,GEN,Belgaum,Agriculture,Teacher,Agriculture / Farming,Education / Academia
765,Koppal,Gaveesh Sasimath,IND,44,0,6975672.0,3475903.0,Secondary Education,"SSLC from Boys High School Koppal in 1994, NTC (Electrician)-Dep of Employment and Training in 2000",GEN,Koppal,Business Agriculture,Household,"Business / Entrepreneurship, Agriculture / Farming",Not Given
766,Haliyal,Ghotnekar Shrikanth Lakshman,JD(S),75,4,353767908.0,64347203.0,Graduates,B.Sc. Chemistry - March - April 1973 Shivaji University Kollapur Maharastra,GEN,Uttara Kannada,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
